date,timestamp,values
"May 7 – 13, 2023",1683417600,"[{'query': 'Música', 'value': '98', 'extracted_value': 98}]"
"May 14 – 20, 2023",1684022400,"[{'query': 'Música', 'value': '99', 'extracted_value': 99}]"
"May 21 – 27, 2023",1684627200,"[{'query': 'Música', 'value': '99', 'extracted_value': 99}]"
"May 28 – Jun 3, 2023",1685232000,"[{'query': 'Música', 'value': '99', 'extracted_value': 99}]"
"Jun 4 – 10, 2023",1685836800,"[{'query': 'Música', 'value': '93', 'extracted_value': 93}]"
"Jun 11 – 17, 2023",1686441600,"[{'query': 'Música', 'value': '100', 'extracted_value': 100}]"
"Jun 18 – 24, 2023",1687046400,"[{'query': 'Música', 'value': '98', 'extracted_value': 98}]"
"Jun 25 – Jul 1, 2023",1687651200,"[{'query': 'Música', 'value': '95', 'extracted_value': 95}]"
"Jul 2 – 8, 2023",1688256000,"[{'query': 'Música', 'value': '90', 'extracted_value': 90}]"
"Jul 9 – 15, 2023",1688860800,"[{'query': 'Música', 'value': '84', 'extracted_value': 84}]"
"Jul 16 – 22, 2023",1689465600,"[{'query': 'Música', 'value': '82', 'extracted_value': 82}]"
"Jul 23 – 29, 2023",1690070400,"[{'query': 'Música', 'value': '83', 'extracted_value': 83}]"
"Jul 30 – Aug 5, 2023",1690675200,"[{'query': 'Música', 'value': '83', 'extracted_value': 83}]"
"Aug 6 – 12, 2023",1691280000,"[{'query': 'Música', 'value': '85', 'extracted_value': 85}]"
"Aug 13 – 19, 2023",1691884800,"[{'query': 'Música', 'value': '88', 'extracted_value': 88}]"
"Aug 20 – 26, 2023",1692489600,"[{'query': 'Música', 'value': '81', 'extracted_value': 81}]"
"Aug 27 – Sep 2, 2023",1693094400,"[{'query': 'Música', 'value': '84', 'extracted_value': 84}]"
"Sep 3 – 9, 2023",1693699200,"[{'query': 'Música', 'value': '86', 'extracted_value': 86}]"
"Sep 10 – 16, 2023",1694304000,"[{'query': 'Música', 'value': '78', 'extracted_value': 78}]"
"Sep 17 – 23, 2023",1694908800,"[{'query': 'Música', 'value': '81', 'extracted_value': 81}]"
"Sep 24 – 30, 2023",1695513600,"[{'query': 'Música', 'value': '80', 'extracted_value': 80}]"
"Oct 1 – 7, 2023",1696118400,"[{'query': 'Música', 'value': '76', 'extracted_value': 76}]"
"Oct 8 – 14, 2023",1696723200,"[{'query': 'Música', 'value': '81', 'extracted_value': 81}]"
"Oct 15 – 21, 2023",1697328000,"[{'query': 'Música', 'value': '79', 'extracted_value': 79}]"
"Oct 22 – 28, 2023",1697932800,"[{'query': 'Música', 'value': '78', 'extracted_value': 78}]"
"Oct 29 – Nov 4, 2023",1698537600,"[{'query': 'Música', 'value': '80', 'extracted_value': 80}]"
"Nov 5 – 11, 2023",1699142400,"[{'query': 'Música', 'value': '79', 'extracted_value': 79}]"
"Nov 12 – 18, 2023",1699747200,"[{'query': 'Música', 'value': '80', 'extracted_value': 80}]"
"Nov 19 – 25, 2023",1700352000,"[{'query': 'Música', 'value': '82', 'extracted_value': 82}]"
"Nov 26 – Dec 2, 2023",1700956800,"[{'query': 'Música', 'value': '84', 'extracted_value': 84}]"
"Dec 3 – 9, 2023",1701561600,"[{'query': 'Música', 'value': '86', 'extracted_value': 86}]"
"Dec 10 – 16, 2023",1702166400,"[{'query': 'Música', 'value': '82', 'extracted_value': 82}]"
"Dec 17 – 23, 2023",1702771200,"[{'query': 'Música', 'value': '78', 'extracted_value': 78}]"
"Dec 24 – 30, 2023",1703376000,"[{'query': 'Música', 'value': '90', 'extracted_value': 90}]"
"Dec 31, 2023 – Jan 6, 2024",1703980800,"[{'query': 'Música', 'value': '85', 'extracted_value': 85}]"
"Jan 7 – 13, 2024",1704585600,"[{'query': 'Música', 'value': '76', 'extracted_value': 76}]"
"Jan 14 – 20, 2024",1705190400,"[{'query': 'Música', 'value': '80', 'extracted_value': 80}]"
"Jan 21 – 27, 2024",1705795200,"[{'query': 'Música', 'value': '78', 'extracted_value': 78}]"
"Jan 28 – Feb 3, 2024",1706400000,"[{'query': 'Música', 'value': '74', 'extracted_value': 74}]"
"Feb 4 – 10, 2024",1707004800,"[{'query': 'Música', 'value': '77', 'extracted_value': 77}]"
"Feb 11 – 17, 2024",1707609600,"[{'query': 'Música', 'value': '83', 'extracted_value': 83}]"
"Feb 18 – 24, 2024",1708214400,"[{'query': 'Música', 'value': '79', 'extracted_value': 79}]"
"Feb 25 – Mar 2, 2024",1708819200,"[{'query': 'Música', 'value': '80', 'extracted_value': 80}]"
"Mar 3 – 9, 2024",1709424000,"[{'query': 'Música', 'value': '86', 'extracted_value': 86}]"
"Mar 10 – 16, 2024",1710028800,"[{'query': 'Música', 'value': '85', 'extracted_value': 85}]"
"Mar 17 – 23, 2024",1710633600,"[{'query': 'Música', 'value': '85', 'extracted_value': 85}]"
"Mar 24 – 30, 2024",1711238400,"[{'query': 'Música', 'value': '84', 'extracted_value': 84}]"
"Mar 31 – Apr 6, 2024",1711843200,"[{'query': 'Música', 'value': '82', 'extracted_value': 82}]"
"Apr 7 – 13, 2024",1712448000,"[{'query': 'Música', 'value': '86', 'extracted_value': 86}]"
"Apr 14 – 20, 2024",1713052800,"[{'query': 'Música', 'value': '83', 'extracted_value': 83}]"
"Apr 21 – 27, 2024",1713657600,"[{'query': 'Música', 'value': '85', 'extracted_value': 85}]"
"Apr 28 – May 4, 2024",1714262400,"[{'query': 'Música', 'value': '86', 'extracted_value': 86}]"
"May 5 – 11, 2024",1714867200,"[{'query': 'Música', 'value': '80', 'extracted_value': 80}]"
