Data da Pesquisa,Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
12/05/2024,wHME15TWMno,Dune,YouTube Movies,2021-11-26T03:02:04Z,"A mythic and emotionally charged hero's journey, “Dune” tells the story of Paul Atreides, a brilliant and gifted young man born into ...",[],UCw5USbmE15DJaC1KQrNnvJg,0,6585,0,249,{},[],{}
12/05/2024,dS5Jdqa5woU,Godzilla vs. Kong,YouTube Movies,2021-06-17T03:02:05Z,"Legends collide as Godzilla and Kong, the two most powerful forces of nature, clash in a spectacular battle for the ages.",[],UCFR5BbeiU1PtgVyAHh55cXA,0,36783,0,1261,{},[],{}
12/05/2024,EiQ65vkuHI0,Aquaman and The Lost Kingdom,YouTube Movies,2024-02-01T03:02:01Z,"As Arthur Curry confronts the responsibilities of being King of the Seven Seas, a long-buried ancient power is unleashed.",[],UCiIElr6JM8ya1U8WpJGwIaQ,0,7901,0,269,{},[],{}
12/05/2024,-yKtIaTDi24,Barbie,YouTube Movies,2023-09-12T03:02:01Z,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full‐on existential crisis. Or you're a Ken.,[],UCa2n7eqRL_0vRdsn46L6quQ,0,66099,0,0,{},[],{}
12/05/2024,i6K7ZoxZ5GE,SPIDER-MAN: NO WAY HOME,YouTube Movies,2022-03-17T03:02:01Z,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super ...",[],UCAWQwELnf-OiPBSVp1zQWsw,0,33697,0,0,{},[],{}
12/05/2024,ZJUtiZyU-rQ,Fast X,YouTube Movies,2023-07-06T03:02:04Z,"Ever since their saga started on the streets of L.A.'s underground racing scene, Dom Toretto (Vin Diesel) and his family have ...",[],UCH85wg9DtyIcWYE31XEEmlg,0,33398,0,895,{},[],{}
12/05/2024,8NO5lbdCO6Q,Harry Potter and the Philosopher’s Stone,YouTube Movies,2020-11-07T10:55:55Z,"Based on the first of J.K. Rowling's popular children's novels about Harry Potter, the live-action family adventure film Harry Potter ...",[],UCT0idSG4_BUq5U4gfB03LmQ,0,15308,0,0,{},[],{}
12/05/2024,r0agY59BJa8,Minha Mãe é Uma Peça 3: O Filme,YouTube Movies,2020-04-05T03:00:02Z,Dona Hermínia vai ter que se redescobrir e se reinventar porque seus filhos estão formando novas famílias. Essa supermãe vai ...,[],UCnU__H5yApy5G7SSk5Mrmiw,0,82497,0,2010,{},[],{}
12/05/2024,XvJ_61Tcldo,A Lenda de Golem (Dublado),YouTube Movies,2019-09-05T03:00:08Z,"Uma vila judaica do século 19 é invadida por pagãos. Para salvar a família e seu povoado, Hanna, uma fiel com vasto ...",[],UCalQPvucO6wfZ9qxSTdhmuQ,0,676,0,27,{},[],{}
12/05/2024,WzuEbGVMJus,Tarzan - A Evolução da Lenda (Dublado),YouTube Movies,2014-10-09T08:23:56Z,"Após seus pais morrerem, um garoto é criado por uma gorila, que passa a tratá-lo como se fosse seu filho. Ao crescer ele se ...",[],UCKI8TKfFSwLdu7_Eum1a41w,0,8291,0,132,{},[],{}
12/05/2024,uIOqOgpZHzk,The Equalizer 3,YouTube Movies,2023-11-19T03:02:08Z,"Denzel Washington is Robert McCall, an ex-assassin with a mysterious past, who returns to action to serve vengeance for the ...",[],UCbs1PdULxMC0CHwnsYxwGSQ,0,13341,0,463,{},[],{}
12/05/2024,-G7CwcPV3xs,Justicia Implacable,YouTube Movies,2021-10-07T03:02:04Z,"Después de una emboscada mortal en uno de sus autos blindados, la empresa LA-Fortico Securities contrata a un misterioso ...",[],UCC1Fx_VUtxjyjkPDBOuCoWg,0,4569,0,188,{},[],{}
12/05/2024,tJMtaDkKWi8,Azul é a Cor Mais Quente,YouTube Movies,2014-07-22T17:10:56Z,"Palma de Ouro Cannes 2013 – Filme mais premiado de 2013. Uma polêmica história de amor. A vida de Adèle, 15 anos, muda ...",[],UCq7FjJf2DRDPHfnSQpcwtjg,0,10215,0,1282,{},[],{}
12/05/2024,mNINlY4RCWU,As Aventuras de Robinson Crusoé (Dublado),YouTube Movies,2017-01-27T20:33:17Z,"Em uma pequena e exótica ilha, Tuesday, um papagaio pensa que viver naquele paraíso é muito pouco para ele - e está ...",[],UCgnNkYn4B21ufjiwzuxOYlA,0,3389,0,76,{},[],{}
12/05/2024,pPRvl06go-A,Grinch (Dublado),YouTube Movies,2016-12-19T02:00:01Z,"Descubra a magia do Malvado no Natal! O diretor vencedor do Oscar®, Ron Howard, e o produtor vencedor do Oscar®, Brian ...",[],UCilsszR0BWwtcJ-Utz39H_A,0,32401,0,0,{},[],{}
12/05/2024,nr9PYNdEqdU,Blue Beetle,YouTube Movies,2023-10-03T03:02:04Z,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it.",[],UCDFOWsKLks4Xlh7I7Pp19Pw,0,5585,0,203,{},[],{}
12/05/2024,esHBTc0JpyI,O Melhor de Mim (Dublado),YouTube Movies,2015-02-09T19:01:01Z,O que você faria se depois de vinte anos reencontrasse o grande amor da sua vida? Amanda e Dawson se apaixonaram ...,[],UC_7V3Vb6cE_O3WMiejjgVCw,0,14277,0,444,{},[],{}
12/05/2024,Wlzrdul5Gg0,Mission: Impossible - Dead Reckoning,YouTube Movies,2023-10-11T03:04:24Z,Ethan Hunt (Tom Cruise) and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon ...,[],UCf12ZOY2CkOBs4R9ngVRD1A,0,4412,0,225,{},[],{}
12/05/2024,lUXIWcT3_IY,Carol (Legendado),YouTube Movies,2016-04-05T07:59:43Z,6 INDICAÇÕES OSCAR 2016. CANNES 2015: MELHOR ATRIZ: CATE BLANCHETT. Therese conhece Carol e ambas sentem ...,[],UCb7QR4jpvHGgrTxsgrfWkkA,0,2981,0,228,{},[],{}
12/05/2024,mq34HrdfQjs,Chef (Dublado),YouTube Movies,2014-10-27T18:31:15Z,"Carl é o chef de um restaurante badalado de Los Angeles, mas volta e meia enfrenta problemas com o dono do local por querer ...",[],UCZwraa4BB-_5bb_58B_UgFg,0,502,0,20,{},[],{}
12/05/2024,a38wuXO_ywE,Spider-Man: Across The Spider-Verse,YouTube Movies,2023-08-08T03:02:04Z,"Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, (2018, Best Animated Feature Film), ...",[],UCON4WwfVRRFM3YZ2uxYMoMw,0,9512,0,255,{},[],{}
12/05/2024,KUrvazDB8YI,Gran Turismo: Based On A True Story,YouTube Movies,2023-10-10T03:02:01Z,Gran Turismo is based on the unbelievable true story of a team of unlikely underdogs – a struggling working-class gamer (Archie ...,[],UCdcng5KlagsZZ6Ft_ZYKiSA,0,3227,0,116,{},[],{}
12/05/2024,U1lmZzLQ5gI,Simplesmente Acontece (Dublado),YouTube Movies,2015-04-28T17:28:49Z,Você não precisa ir tão longe para encontrar aquilo que mais procura. Alex e Rosie são amigos inseparáveis que cresceram ...,[],UCBags-CDvs7uiH2YoFtv3qQ,0,12618,0,490,{},[],{}
12/05/2024,sBORYwov9v0,Jogos Mortais - O Final (Dublado),YouTube Movies,2018-05-15T15:45:04Z,"Sobreviventes se reúnem devido aos traumas adquiridos. Entre eles, o psicólogo que controla o encontro e não é uma vítima ...",[],UCniSmYLlw9s5e3oohuYad4A,0,4523,0,242,{},[],{}
12/05/2024,mjInUVWNbEU,The Lord of the Rings: The Fellowship of the Ring,YouTube Movies,2020-12-30T11:46:33Z,"In the first part of J.R.R. Tolkien's epic masterpiece, The Lord of the Rings, a shy young hobbit named Frodo Baggins inherits a ...",[],UCFJLQBnyLSlOxSxYmdcojsw,0,1390,0,82,{},[],{}
12/05/2024,tqwhLRIfaFE,Top Gun: Maverick,YouTube Movies,2022-06-22T12:13:09Z,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing ...",[],UCMGtLwteNuIqjMRLTUS2oGw,0,23792,0,1434,{},[],{}
12/05/2024,VFCYph0eSD4,Tenet,YouTube Movies,2020-11-10T12:23:08Z,"Armed with only one word—Tenet—and fighting for the survival of the entire world, the Protagonist journeys through a twilight ...",[],UCoTUKeyHn-QkrH6wHexHrjg,0,6441,0,505,{},[],{}
12/05/2024,8CSD32QFLW8,Oppenheimer,YouTube Movies,2023-11-23T03:02:05Z,"Written and directed by Christopher Nolan, Oppenheimer is an IMAX®-shot epic thriller that thrusts audiences into the ...",[],UCJWtvKL3Y57khH2tT4UPLbQ,0,10857,0,539,{},[],{}
12/05/2024,Mh5xMcXxuLs,La conspiración del Diablo,YouTube Movies,2023-03-22T18:06:19Z,Una empresa de biotecnología logra clonar a varias de las personas más influyentes en la historia de la humanidad. Cuando un ...,[],UC0xhNKRBnG8Xs3kfZP6VuOQ,0,3793,0,205,{},[],{}
12/05/2024,ARAKdphjmek,No Hard Feelings,YouTube Movies,2023-08-15T03:02:05Z,"Jennifer Lawrence produces and stars in No Hard Feelings, a laugh-out-loud, edgy comedy from Gene Stupnitsky (director Good ...",[],UCEgKJ0wbrVcg01BBNgNt0mA,0,5182,0,199,{},[],{}
12/05/2024,1_8j0LbAq5U,The Suicide Squad,YouTube Movies,2021-09-12T03:02:01Z,"Welcome to hell—a.k.a. Belle Reve, the prison with the highest mortality rate in the US of A. Where the worst Super-Villains are ...",[],UCrt25QJ87-bo734x1nkOrmw,0,10852,0,294,{},[],{}
12/05/2024,0SvLm6aqNg4,007 - Nunca Mais Outra Vez (Dublado),YouTube Movies,2014-05-22T13:00:22Z,James Bond é convocado para tentar reaver bombas nucleares roubadas pela Spectre. Mas terá que se livrar de uma sexy ...,[],UC1Nqq9-HUKv5TpxENvjEFqg,0,846,0,0,{},[],{}
12/05/2024,W6qAqNYkgxM,Sin City - A Dama Fatal (Dublado),YouTube Movies,2014-11-19T06:18:34Z,"Após a morte de John Hartigan, Nancy Callahan só pensa em vingança. Ela passa suas noites dançando no mesmo bar, mas ...",[],UCe-yvnapn8boVpb3I0J2L7A,0,913,0,25,{},[],{}
12/05/2024,wrk9hy_TFSA,O Agente,YouTube Movies,2012-12-19T01:09:34Z,Wesley Snipes retorna neste explosivo filme de ação sobre um assassino profissional que se vê sendo alvo quando uma ...,[],UCdcY4Grq_k2YfDe-07sxhbQ,0,1132,0,21,{},[],{}
12/05/2024,2DJy2l4HICg,Maria e João - O Conto das Bruxas,YouTube Movies,2020-05-16T07:15:25Z,"Com Sophia Lillis e Alice Krige. Uma versão brilhante de um dos contos de fadas mais famosos já escritos. Era uma vez, numa ...",[],UCer3B38Z5UYyVw50HvvI-fA,0,2875,0,0,{},[],{}
12/05/2024,CBolWFtMYd0,The Nun II,YouTube Movies,2023-10-19T03:02:01Z,1956 – France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit The Nun follows Sister Irene as ...,[],UCpjBVuND1Q7t01-98hBhPGA,0,5165,0,228,{},[],{}
12/05/2024,aFRnUrKv19k,A Maldição da Floresta (Legendado),YouTube Movies,2017-01-19T17:50:18Z,"Adam é um cientista enviado para a Irlanda para estudar as florestas. Inesperadamente, ele e sua família começam a ser ...",[],UC3ODQBdcspv8PNHKwGPocAQ,0,742,0,17,{},[],{}
12/05/2024,NP_0VbkWUcg,Birds Of Prey And the Fantabulous Emancipation of One Harley Quinn,YouTube Movies,2020-02-06T03:00:02Z,"You ever hear the one about the cop, the blonde, the psycho and the mafia princess? Birds Of Prey And the Fantabulous ...",[],UCa_N-ffcBEHsm2XKASsoHKA,0,71677,0,3441,{},[],{}
12/05/2024,yHdID-lQxXE,Blade Runner 2049 (Legendado),YouTube Movies,2017-12-27T02:00:02Z,"Trinta anos após os acontecimentos do primeiro filme, a humanidade está novamente ameaçada, e dessa vez o perigo pode ser ...",[],UCG-izdNoRuSXga865zNrkfQ,0,916,0,0,{},[],{}
12/05/2024,1mTkHb0uBNs,Meu Pai,YouTube Movies,2021-04-07T03:02:03Z,Oscar 2021 - Melhor Ator (Anthony Hopkins) e Melhor Roteiro Adaptado. Um idoso sofre com as confusões da própria mente e ...,[],UCjU4555_eEvqi7_NJJ4ITWg,0,6053,0,295,{},[],{}
12/05/2024,SaaipeXx1js,John Wick: Chapter 4,YouTube Movies,2023-06-15T03:02:05Z,"John Wick (Keanu Reeves) uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off ...",[],UC2aeSt13Gr8hw6Yefheukaw,0,8081,0,540,{},[],{}
12/05/2024,63uxUPaHMzM,O Físico (Legendado),YouTube Movies,2014-11-18T01:28:12Z,"Inglaterra, século XI. Ainda criança, Rob vê sua mãe morrer em decorrência da doença do lado. O garoto cresce sob os cuidados ...",[],UCuIScKi9GvhseeaPKRvKZcQ,0,348,0,13,{},[],{}
12/05/2024,P3212LLID7k,Meus 15 Anos,YouTube Movies,2017-08-09T23:18:58Z,Com Larissa Manoela. A vida de uma adolescente esquisitona muda completamente quando ela ganha a festa de 15 anos mais ...,[],UCTs0FVlUh59lzkBWYxGbhBA,0,13820,0,493,{},[],{}
