title,link,channel_name,channel_link,views,description,length,thumbnail
Benson Boone - Beautiful Things (Official Music Video),https://www.youtube.com/watch?v=Oa_RSwwpPaA,Benson Boone,https://www.youtube.com/channel/UCvILah8hAWYhYOmAG3ZjvBA,142148423,Benson Boone - Beautiful Things (Official Music Video) Listen to 'Fireworks & Rollerblades' the debut album from Benson Boone ...,3:13,https://i.ytimg.com/vi/Oa_RSwwpPaA/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBHGXH5diisvD4v7qD49jZFvU7JNw
Friday Morning Jazz - Good Mood with Relaxing Jazz Instrumental Music & Smooth Ethereal Bossa Nova,https://www.youtube.com/watch?v=NJ2wVA5SLYU,Cafe Cozy Jazz,https://www.youtube.com/channel/UCyUTC3jCAaLd639lo9n9Bqw,,Friday Morning Jazz - Good Mood with Relaxing Jazz Instrumental Music & Smooth Ethereal Bossa Nova 👉️   Let's experience ...,,https://i.ytimg.com/vi/NJ2wVA5SLYU/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDwObwiUVlIIm3dzIU6Dybh72Dqjw
"MIX SALSA Y BACHATA DADDY YANKEE, MARC ANTONY, PRINCE ROYCE, ROMEO SANTOS AVENTURA",https://www.youtube.com/watch?v=u_JqHUg_4x4,SUMMER HITS,https://www.youtube.com/@summerhits1759,19594705,"0:01 – 3:50 De Vuelta Pa' La Vuelta - Daddy Yankee, Marc Anthony 3:49 – 6:58 BEBÉ - Camilo, El Alfa 6:58 – 10:49 Para Qué ...",2:59:29,https://i.ytimg.com/vi/u_JqHUg_4x4/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCkpwPza2pfB971GGLCOHnwOQ_wxw
"Positive Jazz - Relaxing Piano Jazz Music & Sweet May Bossa Nova Instrumental for Stress relief,work",https://www.youtube.com/watch?v=YWoc1_36OMM,Cafe Cozy Jazz,https://www.youtube.com/channel/UCyUTC3jCAaLd639lo9n9Bqw,,"Positive Jazz - Relaxing Piano Jazz Music & Sweet May Bossa Nova Instrumental for Stress relief,work 👉️   Let's experience ...",,https://i.ytimg.com/vi/YWoc1_36OMM/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCuHWtRV0PCnSqMvULyen7HbPA0tw
Positive Bossa Nova Jazz Music in Paris Cafe Shop Ambience - Smooth Bossa Nova Music for Relax Mood,https://www.youtube.com/watch?v=kWOIlkjfvpo,Chill Café Music,https://www.youtube.com/@chillcafemusic,7399,Positive Bossa Nova Jazz Music in Paris Cafe Shop Ambience - Smooth Bossa Nova Music for Relax Mood Step into the ...,11:54:59,https://i.ytimg.com/vi/kWOIlkjfvpo/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAmXjpEyACC889jGis9D6Biq2uLCQ
"Jazz Relaxing Music for Studying, Work ☕ Cozy Coffee Shop Ambience & Calming Jazz Instrumental Music",https://www.youtube.com/watch?v=nZg2Ooz4d-I,Coffee Relaxing Jazz,https://www.youtube.com/@coffeerelaxingjazz,,"Jazz Relaxing Music for Studying, Work ☕ Cozy Coffee Shop Ambience & Calming Jazz Instrumental Music | Listen on Spotify, ...",,https://i.ytimg.com/vi/nZg2Ooz4d-I/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDq_xOTydK4JJ0TsNXQoHCtDONTlQ
"Música para la mañana ☀️ Música para levantar el animo ☀️ Trabajar, Estudiar, Pensamiento Positivo",https://www.youtube.com/watch?v=xZ27YDDYjqY,Legend Music - Música Electrónica,https://www.youtube.com/channel/UCNnQqoYFCqLID3GAMkGtS6A,5108241,"Música para la mañana ☀️ Música para levantar el animo ☀️ Trabajar, Estudiar, Pensamiento Positivo Música para la ...",11:54:58,https://i.ytimg.com/vi/xZ27YDDYjqY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCW8r3Nq5ISU0hHEqm1BEONz7_XkA
Calm Jazz Instrumental - Stress Relief of Morning Jazz Relaxing Music & Smooth Serenade Bossa Nova,https://www.youtube.com/watch?v=ypbaTLa2Wss,Cafe Cozy Jazz,https://www.youtube.com/channel/UCyUTC3jCAaLd639lo9n9Bqw,58901,Calm Jazz Instrumental - Stress Relief of Morning Jazz Relaxing Music & Smooth Serenade Bossa Nova 👉️   Let's experience ...,11:54:59,https://i.ytimg.com/vi/ypbaTLa2Wss/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAnQgT93gP6jixOn4qQtRitfuN-PA
Makhadzi Entertainment - Number 1 (Official Music Video) feat. Iyanya & Prince Benza,https://www.youtube.com/watch?v=VK2C1XQnq7c,Makhadzi,https://www.youtube.com/channel/UCSyGLZWpjz1hsIUvwAu9gaQ,91153,"https://africori.to/number1 Makhadzi Entertainment presents their latest hit single, 'Number1', featuring the collaboration of ...",4:40,https://i.ytimg.com/vi/VK2C1XQnq7c/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD0CD5wwF88UrsLGtk5PQ5mPQz1WQ
Ibiza Summer Mix 2024 🍓 Best Of Tropical Deep House Music Chill Out Mix 2023 🍓 Chillout Lounge,https://www.youtube.com/watch?v=vCFtHEthBuQ,Magic Club,https://www.youtube.com/@MagicClub686,,Ibiza Summer Mix 2024 Best Of Tropical Deep House Music Chill Out Mix 2023 Chillout Lounge Stream/Download: ...,,https://i.ytimg.com/vi/vCFtHEthBuQ/hqdefault.jpg?sqp=-oaymwEjCOADEI4CSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLC-nFsFe7wz3tgjYs36WosYOLTOjQ
